,time,sex,age,is_citizen,region,where_live,lang_before,lang_after,movies_before,movies_after,content_before,content_after
169,2023/02/08 2:00:00 дп GMT+2,Male,20,yes,Сentral-north,perm_abroad,3,1,['English'],"['Ukrainian', 'English']",2,1
170,2023/02/08 4:14:32 дп GMT+2,Female,22,yes,Сentral-north,temp_abroad,5,3,['Ukrainian'],['Ukrainian'],3,2
171,2023/02/08 7:57:05 дп GMT+2,Female,19,yes,West,in_Ukraine,1,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,1
172,2023/02/08 8:01:26 дп GMT+2,Male,19,yes,Сentral-north,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,3
173,2023/02/08 9:08:48 дп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,4,2,"['Ukrainian', 'russian']",['Ukrainian'],3,2
174,2023/02/08 9:32:17 дп GMT+2,Female,20,yes,West,in_Ukraine,3,1,['russian'],"['Ukrainian', 'English']",4,1
175,2023/02/08 9:48:15 дп GMT+2,Female,19,yes,Сentral-north,in_Ukraine,4,3,"['russian', 'other']",['Ukrainian'],3,2
176,2023/02/08 9:51:17 дп GMT+2,Female,16,yes,East,in_Ukraine,4,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
177,2023/02/08 10:01:30 дп GMT+2,Female,17,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English', 'other']","['Ukrainian', 'English']",2,1
178,2023/02/08 10:02:46 дп GMT+2,Female,18,yes,East,temp_abroad,5,3,"['English', 'russian']","['Ukrainian', 'English']",4,2
179,2023/02/08 10:05:19 дп GMT+2,Female,19,yes,South,in_Ukraine,5,2,['russian'],['Ukrainian'],4,1
180,2023/02/08 10:07:08 дп GMT+2,Female,18,yes,South,in_Ukraine,4,2,['russian'],"['Ukrainian', 'English']",4,1
181,2023/02/08 10:10:11 дп GMT+2,Male,20,yes,East,in_Ukraine,5,3,['russian'],['Ukrainian'],5,1
182,2023/02/08 10:30:18 дп GMT+2,Female,19,yes,East,in_Ukraine,3,3,['Ukrainian'],['Ukrainian'],3,2
183,2023/02/08 10:31:32 дп GMT+2,Female,15,yes,Сentral-north,in_Ukraine,5,1,['russian'],"['Ukrainian', 'English']",4,2
184,2023/02/08 11:50:48 дп GMT+2,Female,18,yes,West,in_Ukraine,2,2,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
185,2023/02/08 11:51:32 дп GMT+2,Male,18,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
186,2023/02/08 11:53:37 дп GMT+2,Male,18,yes,West,in_Ukraine,1,1,['English'],['English'],3,2
187,2023/02/08 11:53:41 дп GMT+2,Female,17,yes,East,in_Ukraine,5,2,"['English', 'russian']",['English'],3,1
188,2023/02/08 11:54:19 дп GMT+2,Male,18,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
189,2023/02/08 11:55:48 дп GMT+2,Female,17,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
190,2023/02/08 12:10:39 пп GMT+2,Female,18,yes,West,in_Ukraine,2,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,2
191,2023/02/08 12:46:12 пп GMT+2,Male,20,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
192,2023/02/08 12:51:54 пп GMT+2,Female,17,yes,West,in_Ukraine,3,3,"['English', 'russian']","['Ukrainian', 'English']",4,2
193,2023/02/08 1:08:11 пп GMT+2,Male,14,yes,East,in_Ukraine,4,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
194,2023/02/08 1:10:21 пп GMT+2,Female,14,yes,South,in_Ukraine,5,2,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,2
194,2023/02/08 1:10:21 пп GMT+2,Female,14,yes,East,in_Ukraine,5,2,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,2
195,2023/02/08 1:41:49 пп GMT+2,Female,17,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
196,2023/02/08 1:44:12 пп GMT+2,Female,17,yes,West,in_Ukraine,1,1,"['Ukrainian', 'russian']",['Ukrainian'],3,1
197,2023/02/08 2:17:24 пп GMT+2,Male,17,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'russian']","['Ukrainian', 'English']",4,1
198,2023/02/08 2:19:53 пп GMT+2,Male,18,yes,West,in_Ukraine,1,1,['English'],['English'],2,1
199,2023/02/08 2:23:15 пп GMT+2,Male,18,yes,West,in_Ukraine,2,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",4,2
200,2023/02/08 2:25:25 пп GMT+2,Female,20,yes,Сentral-north,in_Ukraine,5,1,['russian'],['English'],5,1
201,2023/02/08 3:24:21 пп GMT+2,Female,18,yes,West,in_Ukraine,3,3,"['English', 'russian']","['Ukrainian', 'English', 'russian']",2,2
202,2023/02/08 3:25:27 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,3,1,['russian'],"['Ukrainian', 'English']",2,1
202,2023/02/08 3:25:27 пп GMT+2,Female,18,yes,West,in_Ukraine,3,1,['russian'],"['Ukrainian', 'English']",2,1
203,2023/02/08 3:25:46 пп GMT+2,Female,19,yes,Сentral-north,in_Ukraine,2,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
203,2023/02/08 3:25:46 пп GMT+2,Female,19,yes,West,in_Ukraine,2,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
204,2023/02/08 3:26:32 пп GMT+2,Female,18,yes,West,temp_abroad,3,3,['English'],"['Ukrainian', 'English', 'other']",2,1
205,2023/02/08 3:28:08 пп GMT+2,Female,31,yes,West,temp_abroad,3,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,2
206,2023/02/08 3:28:15 пп GMT+2,Female,18,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",4,2
207,2023/02/08 3:29:38 пп GMT+2,Female,18,yes,East,temp_abroad,5,2,"['Ukrainian', 'russian']","['Ukrainian', 'English']",4,1
208,2023/02/08 3:34:23 пп GMT+2,Female,17,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
209,2023/02/08 3:34:26 пп GMT+2,Female,18,yes,West,in_Ukraine,2,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,1
210,2023/02/08 3:37:25 пп GMT+2,Male,32,yes,Сentral-north,in_Ukraine,3,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
211,2023/02/08 3:49:55 пп GMT+2,Female,18,yes,East,in_Ukraine,3,2,['russian'],['Ukrainian'],2,1
212,2023/02/08 3:51:24 пп GMT+2,Male,18,yes,West,in_Ukraine,2,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",2,1
213,2023/02/08 3:59:20 пп GMT+2,Male,21,yes,West,in_Ukraine,1,1,['English'],['English'],2,1
214,2023/02/08 4:03:15 пп GMT+2,Male,39,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'English']",['Ukrainian'],3,2
215,2023/02/08 4:03:28 пп GMT+2,Male,38,yes,Сentral-north,in_Ukraine,5,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'other']",2,2
215,2023/02/08 4:03:28 пп GMT+2,Male,38,yes,East,in_Ukraine,5,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'other']",2,2
216,2023/02/08 4:11:37 пп GMT+2,Female,18,yes,West,in_Ukraine,1,1,['English'],['English'],3,1
217,2023/02/08 4:19:04 пп GMT+2,Male,43,yes,Сentral-north,in_Ukraine,4,3,"['Ukrainian', 'russian']",['Ukrainian'],2,1
217,2023/02/08 4:19:04 пп GMT+2,Male,43,yes,East,in_Ukraine,4,3,"['Ukrainian', 'russian']",['Ukrainian'],2,1
218,2023/02/08 4:35:14 пп GMT+2,Male,39,yes,West,in_Ukraine,2,2,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
219,2023/02/08 4:42:47 пп GMT+2,Female,35,yes,East,in_Ukraine,4,3,['English'],['English'],2,1
220,2023/02/08 4:58:59 пп GMT+2,Female,27,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English', 'other']","['Ukrainian', 'English', 'other']",3,1
221,2023/02/08 4:59:19 пп GMT+2,Female,19,yes,West,in_Ukraine,2,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
222,2023/02/08 5:08:53 пп GMT+2,Female,38,yes,South,in_Ukraine,5,4,['Ukrainian'],['Ukrainian'],3,2
223,2023/02/08 5:13:10 пп GMT+2,Female,19,yes,West,in_Ukraine,2,1,"['Ukrainian', 'russian']",['Ukrainian'],2,1
224,2023/02/08 5:38:43 пп GMT+2,Female,17,yes,South,in_Ukraine,4,2,"['English', 'russian']","['Ukrainian', 'English']",2,1
224,2023/02/08 5:38:43 пп GMT+2,Female,17,yes,East,in_Ukraine,4,2,"['English', 'russian']","['Ukrainian', 'English']",2,1
225,2023/02/08 5:45:52 пп GMT+2,Female,18,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,2
226,2023/02/08 7:04:38 пп GMT+2,Male,27,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
227,2023/02/08 7:33:08 пп GMT+2,Male,16,yes,East,in_Ukraine,4,3,"['Ukrainian', 'russian']","['Ukrainian', 'English']",2,2
228,2023/02/08 7:37:47 пп GMT+2,Male,33,yes,Сentral-north,in_Ukraine,4,3,['russian'],['Ukrainian'],3,1
229,2023/02/08 8:12:14 пп GMT+2,Male,44,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'russian']",2,2
230,2023/02/08 8:22:52 пп GMT+2,Female,17,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",1,1
231,2023/02/08 9:02:19 пп GMT+2,Male,32,yes,West,in_Ukraine,1,1,['Ukrainian'],['Ukrainian'],3,1
232,2023/02/08 9:03:33 пп GMT+2,Female,18,yes,West,in_Ukraine,2,1,"['Ukrainian', 'English', 'russian']",['English'],3,1
233,2023/02/08 9:04:40 пп GMT+2,Female,26,yes,West,in_Ukraine,2,1,"['Ukrainian', 'russian']",['Ukrainian'],5,1
234,2023/02/08 9:35:48 пп GMT+2,Female,18,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,2
235,2023/02/08 9:47:36 пп GMT+2,Female,19,yes,West,in_Ukraine,3,3,['Ukrainian'],['Ukrainian'],2,1
236,2023/02/08 9:57:08 пп GMT+2,Male,35,yes,Сentral-north,in_Ukraine,4,2,['English'],['English'],3,2
237,2023/02/08 11:18:31 пп GMT+2,Female,20,yes,West,in_Ukraine,2,1,"['Ukrainian', 'russian']","['Ukrainian', 'English', 'russian']",4,2
238,2023/02/08 11:38:43 пп GMT+2,Male,18,yes,Сentral-north,in_Ukraine,3,1,['russian'],"['Ukrainian', 'English']",3,1
238,2023/02/08 11:38:43 пп GMT+2,Male,18,yes,West,in_Ukraine,3,1,['russian'],"['Ukrainian', 'English']",3,1
239,2023/02/08 11:39:07 пп GMT+2,Female,17,yes,West,in_Ukraine,2,1,['Ukrainian'],"['Ukrainian', 'English']",3,1
240,2023/02/08 11:39:14 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,2,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
240,2023/02/08 11:39:14 пп GMT+2,Female,18,yes,West,in_Ukraine,2,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
241,2023/02/08 11:39:47 пп GMT+2,Female,22,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",1,1
242,2023/02/08 11:48:35 пп GMT+2,Female,17,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
243,2023/02/09 12:06:41 дп GMT+2,Female,20,yes,West,in_Ukraine,1,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,2
244,2023/02/09 7:23:47 дп GMT+2,Male,39,yes,East,temp_abroad,4,3,['russian'],['russian'],3,3
245,2023/02/09 8:01:50 дп GMT+2,Female,17,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,2
246,2023/02/09 10:37:25 дп GMT+2,Female,32,yes,Сentral-north,in_Ukraine,5,2,['russian'],"['Ukrainian', 'English']",2,1
246,2023/02/09 10:37:25 дп GMT+2,Female,32,yes,South,in_Ukraine,5,2,['russian'],"['Ukrainian', 'English']",2,1
247,2023/02/09 12:30:52 пп GMT+2,Female,20,yes,West,in_Ukraine,2,1,"['English', 'russian']",['English'],3,2
248,2023/02/10 9:21:10 пп GMT+2,Female,20,yes,South,in_Ukraine,3,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
249,2023/02/12 3:37:46 дп GMT+2,Female,19,yes,Сentral-north,temp_abroad,3,2,['russian'],['Ukrainian'],3,1
250,2023/02/19 3:46:39 пп GMT+2,Male,21,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'russian']",['Ukrainian'],3,1
