,time,sex,age,is_citizen,region,where_live,lang_before,lang_after,movies_before,movies_after,content_before,content_after
39,2023/01/30 3:00:24 пп GMT+2,Female,21,yes,Сentral-north,in_Ukraine,5,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'russian']",4,3
40,2023/01/30 3:05:58 пп GMT+2,Female,17,yes,Сentral-north,temp_abroad,4,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,2
41,2023/01/30 3:17:23 пп GMT+2,Female,16,yes,East,temp_abroad,3,2,"['Ukrainian', 'russian']","['Ukrainian', 'English', 'other']",3,1
42,2023/01/30 3:20:18 пп GMT+2,Female,17,yes,Сentral-north,temp_abroad,4,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",4,2
43,2023/01/30 3:20:43 пп GMT+2,Female,18,yes,Сentral-north,temp_abroad,2,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,1
43,2023/01/30 3:20:43 пп GMT+2,Female,18,yes,West,temp_abroad,2,1,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,1
44,2023/01/30 3:23:38 пп GMT+2,Male,17,yes,Сentral-north,perm_abroad,4,2,"['Ukrainian', 'English', 'russian']",['English'],4,2
45,2023/01/30 3:27:22 пп GMT+2,Male,17,yes,Сentral-north,in_Ukraine,4,3,['Ukrainian'],['Ukrainian'],3,2
45,2023/01/30 3:27:22 пп GMT+2,Male,17,yes,West,in_Ukraine,4,3,['Ukrainian'],['Ukrainian'],3,2
46,2023/01/30 3:27:54 пп GMT+2,Female,16,yes,Сentral-north,in_Ukraine,4,3,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,2
47,2023/01/30 3:27:56 пп GMT+2,Male,18,yes,Сentral-north,temp_abroad,4,2,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
48,2023/01/30 3:31:48 пп GMT+2,Male,18,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'russian']",3,3
49,2023/01/30 3:35:50 пп GMT+2,Female,15,yes,Сentral-north,temp_abroad,3,2,"['Ukrainian', 'russian']","['Ukrainian', 'English']",3,1
50,2023/01/30 3:36:32 пп GMT+2,Female,16,yes,Сentral-north,in_Ukraine,4,2,['russian'],"['Ukrainian', 'English']",4,1
51,2023/01/30 3:44:36 пп GMT+2,Female,24,yes,Сentral-north,temp_abroad,3,1,['Ukrainian'],['Ukrainian'],4,1
52,2023/01/30 3:48:32 пп GMT+2,Female,16,yes,Сentral-north,in_Ukraine,4,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'russian']",2,2
53,2023/01/30 3:53:32 пп GMT+2,Male,18,yes,Сentral-north,in_Ukraine,4,4,"['Ukrainian', 'English']",['English'],2,1
54,2023/01/30 4:00:52 пп GMT+2,Female,18,yes,Сentral-north,temp_abroad,3,1,"['Ukrainian', 'English']","['Ukrainian', 'English']",3,1
55,2023/01/30 4:18:23 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,3,2,['russian'],"['Ukrainian', 'russian']",2,1
55,2023/01/30 4:18:23 пп GMT+2,Female,18,yes,East,in_Ukraine,3,2,['russian'],"['Ukrainian', 'russian']",2,1
56,2023/01/30 4:35:59 пп GMT+2,Female,29,yes,Сentral-north,temp_abroad,2,1,"['English', 'other']","['Ukrainian', 'English', 'other']",2,1
57,2023/01/30 5:46:30 пп GMT+2,Male,18,yes,Сentral-north,temp_abroad,4,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",1,1
58,2023/01/30 5:56:24 пп GMT+2,Female,19,yes,East,temp_abroad,5,3,"['Ukrainian', 'russian']",['Ukrainian'],4,2
59,2023/01/30 6:07:42 пп GMT+2,Female,17,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
60,2023/01/30 6:12:36 пп GMT+2,Female,16,yes,Сentral-north,in_Ukraine,3,3,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
61,2023/01/30 6:30:06 пп GMT+2,Female,20,yes,East,temp_abroad,5,2,"['English', 'russian']","['Ukrainian', 'English', 'russian']",3,2
62,2023/01/30 6:32:12 пп GMT+2,Female,18,yes,Сentral-north,in_Ukraine,4,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
62,2023/01/30 6:32:12 пп GMT+2,Female,18,yes,East,in_Ukraine,4,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
63,2023/01/30 7:07:43 пп GMT+2,Female,47,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'russian', 'other']","['Ukrainian', 'other']",3,1
64,2023/01/30 7:11:36 пп GMT+2,Female,17,yes,Сentral-north,in_Ukraine,5,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
65,2023/01/30 7:35:16 пп GMT+2,Male,19,yes,Сentral-north,in_Ukraine,4,3,"['Ukrainian', 'English']","['Ukrainian', 'English']",2,1
66,2023/01/30 8:29:32 пп GMT+2,Male,17,yes,Сentral-north,in_Ukraine,1,1,"['Ukrainian', 'English']","['Ukrainian', 'English', 'other']",3,2
67,2023/01/30 8:37:39 пп GMT+2,Male,18,yes,South,temp_abroad,4,3,"['English', 'russian']","['Ukrainian', 'English']",2,1
68,2023/01/30 8:54:50 пп GMT+2,NB,19,yes,Сentral-north,temp_abroad,5,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,2
69,2023/01/30 9:17:07 пп GMT+2,Male,20,yes,Сentral-north,temp_abroad,3,3,"['English', 'russian']","['Ukrainian', 'English']",3,2
70,2023/01/30 9:24:45 пп GMT+2,Male,20,yes,Сentral-north,in_Ukraine,4,2,"['English', 'russian']","['Ukrainian', 'English']",5,2
71,2023/01/30 9:52:48 пп GMT+2,Female,18,yes,West,in_Ukraine,1,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
72,2023/01/30 10:17:55 пп GMT+2,Male,19,yes,Сentral-north,in_Ukraine,5,1,['russian'],"['Ukrainian', 'russian']",4,1
73,2023/01/31 12:42:28 дп GMT+2,Male,18,yes,East,temp_abroad,2,2,['Ukrainian'],['Ukrainian'],3,2
74,2023/01/31 1:11:24 дп GMT+2,Male,18,yes,Сentral-north,temp_abroad,3,2,['English'],"['Ukrainian', 'English']",2,1
75,2023/01/31 1:18:44 дп GMT+2,Male,20,yes,South,in_Ukraine,2,2,"['English', 'russian']","['Ukrainian', 'English']",2,2
